"job_id","company_id","job_title_short","job_title","job_location","job_via","job_schedule_type","job_work_from_home","search_location","job_posted_date","job_no_degree_mention","job_health_insurance","job_country","salary_rate","salary_year_avg","salary_hour_avg"
0,0,"Data Analyst","Marketing Data Analyst","Anywhere","via LinkedIn","Full-time",1,"Serbia","2023-09-25 17:46:06","","","Serbia","","",""
55,1,"Cloud Engineer","Storage and Virtualization Engineer","Kuwait City, Kuwait","via Trabajo.org","Full-time","","Kuwait","2023-07-30 17:49:18",1,"","Kuwait","","",""
66,2,"Data Analyst","Data Analyst et Scientist F/H","Paris, France","via Emplois Trabajo.org","Full-time","","France","2023-07-28 17:28:01","","","France","","",""
76,3,"Data Engineer","Data Engineer","Denver, CO","via LinkedIn","Contractor","","Illinois, United States","2023-04-03 17:14:45","","","United States","hour","","70.0"
81,4,"Data Engineer","Data Engineer","Anywhere","via LinkedIn","Contractor",1,"Canada","2023-03-25 17:25:20","","","Canada","","",""
105,5,"Data Analyst","Data Analyst","Bangkok, Thailand","via Jobtopgun.com","Full-time","","Thailand","2023-01-29 17:16:56","","","Thailand","","",""
106,6,"Data Engineer","Data Lead Engineer (with strong Python) - Remote - Latin America","Anywhere","via Jobgether","Full-time",1,"Nicaragua","2023-08-13 17:37:05","","","Nicaragua","","",""
116,7,"Senior Data Engineer","Senior Data Engineer","New York, NY","via Melga","Full-time","","Florida, United States","2023-02-19 17:11:17","",1,"United States","","",""
122,8,"Data Analyst","Full Time Data Analyst","Chicago, IL","via Trabajo.org","Full-time","","Illinois, United States","2023-10-19 17:01:36","",1,"United States","","",""
134,9,"Data Engineer","Data Engineer Remote / Telecommute Jobs","Anywhere","via Clearance Jobs","Full-time",1,"Georgia","2023-04-27 17:38:56",1,"","United States","","",""
139,10,"Data Engineer","Lead Data Engineer","Anywhere","via LinkedIn","Full-time",1,"Texas, United States","2023-06-04 17:27:58",1,1,"United States","","",""
145,11,"Data Engineer","Data Platform Engineer","Singapore","via BeBee Singapore","Full-time","","Singapore","2023-07-13 17:13:07",1,"","Singapore","","",""
148,12,"Data Scientist","Data Science Manager (Bangkok based, relocation provided)","Ho Chi Minh City, Vietnam","via LinkedIn","Full-time","","Vietnam","2023-09-26 17:12:46","","","Vietnam","","",""
167,13,"Data Engineer","Data Engineer","Atlanta, GA","via LinkedIn","Full-time","","Florida, United States","2023-04-13 17:14:34","","","United States","","",""
177,14,"Senior Data Engineer","SENIOR STAFF DATA ENGINEER","Redwood City, CA","via Snagajob","Full-time","","Sudan","2023-07-23 18:22:41","","","Sudan","","",""
187,15,"Data Engineer","Sr. Data Engineer","Copper Canyon, TX","via LinkedIn","Full-time","","Sudan","2023-07-08 17:37:01","","","Sudan","","",""
205,16,"Data Analyst","Data Analyst Hybrid Remote","Denmark","via Trabajo.org","Full-time","","Denmark","2023-05-13 17:57:40","","","Denmark","","",""
217,17,"Data Analyst","Data Analyst","Anywhere","via LinkedIn","Full-time",1,"Poland","2023-04-12 17:48:34",1,"","Poland","","",""
220,18,"Senior Data Engineer","Senior Data Engineer (Kafka)","United States","via LinkedIn","Full-time","","Sudan","2023-05-15 18:40:02","","","Sudan","year","325000.0",""
248,19,"Data Engineer","Data Engineer - 15602","Anywhere","via LinkedIn","Full-time",1,"Illinois, United States","2023-10-21 17:08:19","",1,"United States","","",""
276,20,"Business Analyst","Marketing Analyst/in","Munich, Germany","via BeBee","Full-time","","Germany","2023-12-04 17:19:43",1,"","Germany","","",""
284,21,"Data Engineer","Data Engineer, Product Analytics","Burlingame, CA","via LinkedIn","Full-time","","Texas, United States","2023-11-28 17:08:19","","","United States","year","164000.0",""
307,22,"Data Scientist","Data Scientist (AI/ML)","Irving, TX","via Dice.com","Contractor","","Texas, United States","2023-08-25 17:05:13","","","United States","hour","","60.0"
342,23,"Cloud Engineer","Customer Success Engineer","Tel Aviv-Yafo, Israel","via VAST Data","Full-time","","Israel","2023-03-22 17:50:08","","","Israel","","",""
348,24,"Data Scientist","On-Site Analyst","Spain","via BeBee","Full-time","","Spain","2023-05-01 17:15:43","","","Spain","","",""
359,25,"Data Engineer","Data Engineer","Bala Cynwyd, PA","via SIG Careers","Full-time","","Sudan","2023-09-29 17:18:19","","","Sudan","","",""
411,26,"Data Engineer","Big Data Engineer Senior Jobs","San Diego, CA","via Clearance Jobs","Full-time","","Sudan","2023-05-04 17:35:01","","","Sudan","","",""
436,27,"Senior Data Engineer","Senior Data Engineer - $180k-$200k (Snowflake, Python)","New York, NY","via LinkedIn","Full-time","","California, United States","2023-10-20 17:10:56",1,1,"United States","","",""
477,28,"Data Scientist","ES216 Data Scientist - Now Hiring","Greenbelt, MD","via Snagajob","Full-time","","Georgia","2023-06-28 18:18:54","",1,"United States","","",""
484,29,"Data Scientist","Senior Data Scientist Jobs","Arlington, VA","via Clearance Jobs","Full-time","","New York, United States","2023-08-03 17:03:06","","","United States","","",""
490,30,"Senior Data Engineer","Senior Software Engineer (Senior Azure Data Engineer) - Now Hiring","Cape Girardeau, MO","via Snagajob","Full-time","","Georgia","2023-08-02 18:01:18",1,1,"United States","hour","","27.895000457763672"
491,31,"Data Scientist","DataÂ Scientist/DataÂ Enthusiast","Austria","via Jobs Trabajo.org","Full-time","","Austria","2023-09-24 17:13:54","","","Austria","","",""
492,32,"Data Scientist","Data Scientist","Esch-sur-Alzette, Luxembourg","via BeBee Deutschland","Full-time","","Luxembourg","2023-01-02 17:50:43","","","Luxembourg","","",""
524,33,"Business Analyst","ClearDomain - Business Analyst (1-4 yrs)","India","via Trabajo.org","Full-time","","India","2023-08-20 17:34:09","","","India","","",""
534,34,"Data Analyst","Data Analyst I","Wyoming, MI","via BeBee","Full-time","","Illinois, United States","2023-01-27 17:03:21","",1,"United States","","",""
554,35,"Data Engineer","Junior Equipment Integration Engineer","Porto, Portugal","via BeBee Portugal","Full-time","","Portugal","2023-08-16 18:04:50",1,"","Portugal","","",""
593,36,"Data Analyst","Oracle Business Intelligence Specialist (OTBI, OAC, Data...","London, UK","via My Valley Jobs Today","Contractor","","United Kingdom","2023-10-25 17:16:56",1,"","United Kingdom","","",""
609,37,"Data Analyst","(Junior) Data Analyst:in","Grasleben, Germany","via LinkedIn","Full-time","","Germany","2023-10-28 17:11:15",1,"","Germany","","",""
669,38,"Data Scientist","Data Science - - Natural Language Processing Specialist (NLP)","Karachi, Pakistan","via Indeed","Full-time","","Pakistan","2023-11-22 17:20:09","","","Pakistan","","",""
685,39,"Data Engineer","Data Engineer","Pune, Maharashtra, India","via BeBee India","Full-time","","India","2023-04-21 17:33:04",1,"","India","","",""
691,40,"Data Analyst","Data Analyst","Singapore","via BeBee Singapore","Contractor","","Singapore","2023-06-24 17:19:14","","","Singapore","","",""
705,41,"Software Engineer","Senior Java Engineer","Stockholm, Sweden","via Trabajo.org","Full-time","","Sweden","2023-04-13 17:16:28",1,"","Sweden","","",""
707,42,"Data Engineer","Data Engineer","Singapore","via BeBee Singapore","Full-time","","Singapore","2023-10-21 17:16:43","","","Singapore","","",""
715,43,"Data Scientist","Data Scientist 1","Bengaluru, Karnataka, India","via LinkedIn","Full-time","","India","2023-01-25 17:47:41","","","India","","",""
739,44,"Data Scientist","Head of Data Analytics a Digital Insights AI ML Big Data Tech etiion","Riyadh Saudi Arabia","via Trabajo.org","Full-time","","Saudi Arabia","2023-03-25 17:39:16","","","Saudi Arabia","","",""
749,45,"Data Analyst","Business Data Analyst","Pasig, Metro Manila, Philippines","via LinkedIn","","","Philippines","2023-06-20 17:17:47","","","Philippines","","",""
751,46,"Data Engineer","Healthcare Data Engineer","Bengaluru, Karnataka, India","via Indeed","Full-time","","India","2023-06-02 17:32:06","","","India","","",""
763,47,"Senior Data Engineer","PM\Data Engineer Senior","Florence, Metropolitan City of Florence, Italy","via Lavoro Trabajo.org","Full-time","","Italy","2023-04-26 17:42:51",1,"","Italy","","",""
787,48,"Data Scientist","Data Scientist: Hybrid-Augusta, GA Jobs","Augusta, GA","via Clearance Jobs","Full-time","","Georgia","2023-08-11 17:39:44","","","United States","","",""
804,49,"Data Engineer","Data Engineer, Lead","Arlington, VA","via LinkedIn","Full-time and Part-time","","Texas, United States","2023-11-16 17:07:14","",1,"United States","","",""
811,50,"Data Engineer","Senior, Data Engineer","Singapore","via BeBee Singapore","Contractor","","Singapore","2023-06-22 17:16:50","","","Singapore","","",""
836,51,"Data Analyst","Data Analyst","Schönefeld, Germany","via BeBee Deutschland","Full-time","","Germany","2023-02-21 17:34:23",1,"","Germany","","",""
849,52,"Data Analyst","Lead Data Analyst","Atlanta, GA","via Trabajo.org","Full-time","","Georgia","2023-02-03 18:03:46",1,"","United States","","",""
868,53,"Data Scientist","Director, Data Scientist","Charlotte, NC","via LinkedIn","Full-time","","Illinois, United States","2023-06-09 17:04:18","",1,"United States","","",""
